2026-02-13 11:05:19,005 | INFO | app.services.InquirySHL_service | Start save_data
2026-02-13 11:05:19,853 | INFO | app.services.InquirySHL_service | Load mock BDEX data success
2026-02-13 11:05:19,853 | INFO | app.services.InquirySHL_service | Processing file: 0107561000013SHLJOB00120260121084952020.pdf
2026-02-13 11:05:21,720 | INFO | app.services.pdf_service | Save PDF success: D:\download\0107561000013_20260213110520.pdf
2026-02-13 11:05:21,725 | INFO | app.services.InquirySHL_service | Save file success: D:\download\0107561000013_20260213110520.pdf
2026-02-13 11:05:21,725 | INFO | app.services.InquirySHL_service | Finish save_data, total_saved=1
2026-02-13 14:34:09,134 | INFO | app.services.InquirySHL_service | Start save_data
2026-02-13 14:34:09,951 | INFO | app.services.InquirySHL_service | Load mock BDEX data success
2026-02-13 14:34:09,951 | INFO | app.services.InquirySHL_service | Processing file: 0107561000013SHLJOB00120260121084952020.pdf
2026-02-13 14:34:10,715 | INFO | app.services.pdf_service | Save PDF success: D:\download\0107561000013_20260213143410.pdf
2026-02-13 14:34:10,727 | INFO | app.services.InquirySHL_service | Save file success: D:\download\0107561000013_20260213143410.pdf
2026-02-13 14:34:10,727 | INFO | app.services.InquirySHL_service | Finish save_data, total_saved=1
2026-02-13 14:38:37,354 | INFO | app.services.InquirySHL_service | Start save_data
2026-02-13 14:38:37,960 | INFO | app.services.InquirySHL_service | Load mock BDEX data success
2026-02-13 14:38:37,960 | INFO | app.services.InquirySHL_service | Processing file: 0107561000013SHLJOB00120260121084952020.pdf
2026-02-13 14:38:38,668 | INFO | app.services.pdf_service | Save PDF success: D:\download\0107561000013_20260213143838.pdf
2026-02-13 14:38:38,673 | INFO | app.services.InquirySHL_service | Save file success: D:\download\0107561000013_20260213143838.pdf
2026-02-13 14:38:38,673 | INFO | app.services.InquirySHL_service | Finish save_data, total_saved=1
2026-02-13 14:38:44,411 | INFO | app.services.InquirySHL_service | Start save_data
2026-02-13 14:38:44,968 | INFO | app.services.InquirySHL_service | Load mock BDEX data success
2026-02-13 14:38:44,968 | INFO | app.services.InquirySHL_service | Processing file: 0107561000013SHLJOB00120260121084952020.pdf
2026-02-13 14:38:45,646 | INFO | app.services.pdf_service | Save PDF success: D:\download\0107561000013_20260213143845.pdf
2026-02-13 14:38:45,650 | INFO | app.services.InquirySHL_service | Save file success: D:\download\0107561000013_20260213143845.pdf
2026-02-13 14:38:45,650 | INFO | app.services.InquirySHL_service | Finish save_data, total_saved=1
2026-02-13 14:40:42,938 | INFO | app.services.InquirySHL_service | Start save_data
2026-02-13 14:40:43,586 | INFO | app.services.InquirySHL_service | Load mock BDEX data success
2026-02-13 14:40:43,586 | INFO | app.services.InquirySHL_service | Processing file: 0107561000013SHLJOB00120260121084952020.pdf
2026-02-13 14:40:44,314 | INFO | app.services.pdf_service | Save PDF success: D:\download\0107561000013_20260213144043.pdf
2026-02-13 14:40:44,326 | INFO | app.services.InquirySHL_service | Save file success: D:\download\0107561000013_20260213144043.pdf
2026-02-13 14:40:44,326 | INFO | app.services.InquirySHL_service | Finish save_data, total_saved=1
